"Title","Description","Keywords","Publisher","Bureau Code","Program Code","Contact Name","Contact Email","Unique Identifier","Public Access Level","Access Level Comment","Format","Access URL","Last Update","License"
"National Recreational Boating Safety Survey 2012","The results of a Coast Guard survey of nearly 26,000 recreational boat operators."," Accidents, BARD, Injury, Model, Model Year, Recall, Regulations, Safety, Statistics, Vessel,Boating","Coast Guard, United States","024:60","024:000","Open Data (MGMT)","edmo@hq.dhs.gov","1286","public","-","-","http://www.uscgboating.org/assets/1/AssetManager/2012survey%20report.pdf","05/26/2015","http://www.usa.gov/publicdomain/label/1.0/"
"Natural Gas Liquid Pipelines","Natural gas interstate and intrastate pipelines in the United States. Based on a variety of sources with varying scales and levels of accuracy and therefore accuracy is directly affected.
"," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","2626","public","Continental United States, Alaska & Gulf of Mexico","-","https://hifld-dhs-gii.opendata.arcgis.com/","05/19/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Natural Gas Market Hubs","A hub is a physical transfer point for natural gas where several pipelines are connected. A market center is a hub where the operator offers services that facilitate the buying, selling, and transportation of natural gas.
"," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","2651","public","Continental United States & Alaska","-","https://hifld-dhs-gii.opendata.arcgis.com/","05/19/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Nautical Navigation Aids (NAVAID) Locations","Structures intended to assist a navigator to determine position or safe course, or to warn of dangers or obstructions to navigation. This dataset includes lights, signals, buoys, day beacons, and other aids to navigation. These data are not to be used for navigation."," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","2652","public","Continental United States, Alaska, Hawaii, Puerto Rico, U.S. Virgin Islands, miscellaneous island territories","-","https://hifld-dhs-gii.opendata.arcgis.com/","05/19/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Nautical Publication Information Areas - USACE IENC","These inland electronic Navigational charts (IENCs) were developed from available data used in maintenance of Navigation channels. Users of these IENCs should be aware that some features and attribute information could have significant inaccuracies due to changing waterway conditions, inaccurate source data, or approximations introduced during chart compilation. Caution is urged in use of these IENCs or derived products for Navigational planning or operation, or any decisions pertaining to or affecting safety of vessel operation. These initial IENCs are not to be used as replacements for official government chart books, as required in the U.S. Code of Federal Regulations."," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","2668","public","Selected Continental United States (major mid-America river valleys)","-","https://hifld-dhs-gii.opendata.arcgis.com/","05/19/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Navigable Waterway Network Lines","The National Waterway Network is a comprehensive network database of the nation's navigable waterways. The data set covers the 48 contiguous states plus the District of Columbia, Hawaii, Alaska, Puerto Rico and water links between. The nominal scale of the dataset varies with the source material. The majority of the information is at 1:100,000 with larger scales used in harbor/bay/port areas and smaller scales used in open waters.
"," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","2669","public","Continental United States, Alaska, Hawaii, Puerto Rico, U.S. Virgin Islands, miscellaneous ocean passages","-","https://hifld-dhs-gii.opendata.arcgis.com/","05/19/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Navigable Waterway Network Node Locations","The National Waterway Network is a comprehensive network database of the nation's navigable waterways. The data set covers the 48 contiguous states plus the District of Columbia, Hawaii, Alaska, Puerto Rico and water links between. The nominal scale of the dataset varies with the source material. The majority of the information is at 1:100,000 with larger scales used in harbor/bay/port areas and smaller scales used in open waters.
"," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","2670","public","Continental United States, Alaska, Hawaii, Puerto Rico, U.S. Virgin Islands, miscellaneous ocean regions","-","https://hifld-dhs-gii.opendata.arcgis.com/","05/19/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Navigation Lights - USACE IENC","These inland electronic Navigational charts (IENCs) were developed from available data used in maintenance of Navigation channels. Users of these IENCs should be aware that some features and attribute information could have significant inaccuracies due to changing waterway conditions, inaccurate source data, or approximations introduced during chart compilation. Caution is urged in use of these IENCs or derived products for Navigational planning or operation, or any decisions pertaining to or affecting safety of vessel operation. These initial IENCs are not to be used as replacements for official government chart books, as required in the U.S. Code of Federal Regulations."," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","2671","public","Selected Continental United States (major mid-America river valleys)","-","https://hifld-dhs-gii.opendata.arcgis.com/","05/19/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Navigation System of Marks Areas - USACE IENC","These inland electronic Navigational charts (IENCs) were developed from available data used in maintenance of Navigation channels. Users of these IENCs should be aware that some features and attribute information could have significant inaccuracies due to changing waterway conditions, inaccurate source data, or approximations introduced during chart compilation. Caution is urged in use of these IENCs or derived products for Navigational planning or operation, or any decisions pertaining to or affecting safety of vessel operation. These initial IENCs are not to be used as replacements for official government chart books, as required in the U.S. Code of Federal Regulations."," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","2672","public","Selected Continental United States (major mid-America river valleys)","-","https://hifld-dhs-gii.opendata.arcgis.com/","05/19/2016","http://www.usa.gov/publicdomain/label/1.0/"
"NCIC/III Passenger Criminal History","Query results against the  National Crime Information Center (NCIC) Interstate Identification Index (III) "," Air, Biographic Information, Passenger, Port of Entry, Screening Results, Sea, Traveler","U.S. Customs and Border Protection","024:54","024:015, 024:025, 024:040, 024:041, 024:043, 024:044","Open Data (MGMT)","edmo@hq.dhs.gov","6476","non-public","Contain PII","-","-","04/19/2017","http://www.usa.gov/publicdomain/label/1.0/"
"NICCS Data","Data contains links, training courses information i.e. course description, specialty areas, etc. as well as vendor email, links, and address."," CAE, framework, trainings,cybersecurity","National Protection and Programs Directorate","024:65","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","5516","public","Does not contain sensitive security information.","-","https://niccs.us-cert.gov","11/04/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Non-Gasoline Alternative Fueling Stations","Through a nationwide network of local coalitions, Clean Citiesprovides project assistance to help stakeholders in the public and private sectors deploy alternative and renewable fuels, idle-reduction measures, fuel economy improvements, and emerging transportation technologies.Department of Energy collects this data as part of the Projects undertaken by Clean Cities coalitions and stakeholders to ensure customers access to clean alternative energy. This data can be found at the Department of Energy Alternative Fuels Data Center Web Feature Servicehttp://www.afdc.energy.gov/locator/stations/. Clean Cities is the deployment arm of the U.S. Department of Energy's (DOE) Vehicle Technologies Office."," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","2675","public","Continental United States, Alaska & Hawaii","-","https://hifld-dhs-gii.opendata.arcgis.com/","05/19/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Nonferrous Metal Mines","This map layer includes nonferrous metal mines in the United States. The data represent commodities covered by the Minerals Information Team (MIT) of the U.S. Geological Survey, and the operations are those considered active in 2003 and surveyed by the MIT. This is a replacement for the October 2003 map layer."," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","2673","public","Continental United States & Alaska","-","https://hifld-dhs-gii.opendata.arcgis.com/","05/19/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Nonferrous Metal Processing Plants","This map layer includes nonferrous metal processing plants in the United States. The data represent commodities covered by the Minerals Information Team (MIT) of the U.S. Geological Survey, and the operations are those considered active in 2003 and surveyed by the MIT. This is a replacement for the October 2003 map layer."," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","2674","public","Continental United States","-","https://hifld-dhs-gii.opendata.arcgis.com/","05/19/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Nonimmigrant Admission: Fiscal Year 2007","Nonimmigrants are foreign nationals granted temporary admission into the United States. The major purposes for which nonimmigrant admission may be authorized include temporary visits for business or pleasure, academic or vocational study, temporary employment, or to act as a representative of a foreign government or international organization."," Analyze, Apprehensions, Characteristics, Country of Origin, Green Card, I94, Immigrant, LPR, Legal, Naturalization, Non-Immigrant, Period, Population, Quantitative, Removals, Residency, Residents, Size, Statistics, Unauthorized,Immigration Statistics","Under Secretary / Management","024:10","024:015, 024:026, 024:040, 024:043, 024:044, 024:047, 024:048","Open Data (MGMT)","edmo@hq.dhs.gov","1117","public","-","-","https://www.dhs.gov/immigration-statistics/yearbook/2007","05/16/2017","http://www.usa.gov/publicdomain/label/1.0/"
"Nonimmigrant Admissions - Annual Report","Nonimmigrants are foreign nationals granted temporary admission into the United States. The major purposes for which nonimmigrant admission may be authorized include temporary visits for business or pleasure, academic or vocational study, temporary employment, or to act as a representative of a foreign government or international organization."," Analyze, Apprehensions, Characteristics, Country of Origin, Green Card, I94, Immigrant, LPR, Legal, Naturalization, Non-Immigrant, Period, Population, Quantitative, Removals, Residency, Residents, Size, Statistics, Unauthorized,Immigration Statistics","Under Secretary / Management","024:10","024:015, 024:026, 024:040, 024:043, 024:044, 024:047, 024:048","Open Data (MGMT)","edmo@hq.dhs.gov","927","public","-","-","https://www.dhs.gov/immigration-statistics/yearbook","05/16/2017","http://www.usa.gov/publicdomain/label/1.0/"
"Nonimmigrant Admissions - Fiscal Year 2013","Nonimmigrants are foreign nationals granted temporary admission into the United States. The major purposes for which nonimmigrant admission may be authorized include temporary visits for business or pleasure, academic or vocational study, temporary employment, or to act as a representative of a foreign government or international organization."," Analyze, Apprehensions, Characteristics, Country of Origin, Green Card, I94, Immigrant, LPR, Legal, Naturalization, Non-Immigrant, Period, Population, Quantitative, Removals, Residency, Residents, Size, Statistics, Unauthorized,Immigration Statistics","Under Secretary / Management","024:10","024:015, 024:026, 024:040, 024:043, 024:044, 024:047, 024:048","Open Data (MGMT)","edmo@hq.dhs.gov","1564","public","-","-","https://www.dhs.gov/immigration-statistics/nonimmigrant","05/16/2017","http://www.usa.gov/publicdomain/label/1.0/"
"Nonimmigrant Admissions: Fiscal Year 2004","Nonimmigrants are foreign nationals granted temporary admission into the United States. The major purposes for which nonimmigrant admission may be authorized include temporary visits for business or pleasure, academic or vocational study, temporary employment, or to act as a representative of a foreign government or international organization."," Analyze, Apprehensions, Characteristics, Country of Origin, Green Card, I94, Immigrant, LPR, Legal, Naturalization, Non-Immigrant, Period, Population, Quantitative, Removals, Residency, Residents, Size, Statistics, Unauthorized,Immigration Statistics","Under Secretary / Management","024:10","024:015, 024:026, 024:040, 024:043, 024:044, 024:047, 024:048","Open Data (MGMT)","edmo@hq.dhs.gov","1120","public","-","-","https://www.dhs.gov/immigration-statistics/yearbook/2004","05/16/2017","http://www.usa.gov/publicdomain/label/1.0/"
"Nonimmigrant Admissions: Fiscal Year 2005","Nonimmigrants are foreign nationals granted temporary admission into the United States. The major purposes for which nonimmigrant admission may be authorized include temporary visits for business or pleasure, academic or vocational study, temporary employment, or to act as a representative of a foreign government or international organization."," Analyze, Apprehensions, Characteristics, Country of Origin, Green Card, I94, Immigrant, LPR, Legal, Naturalization, Non-Immigrant, Period, Population, Quantitative, Removals, Residency, Residents, Size, Statistics, Unauthorized,Immigration Statistics","Under Secretary / Management","024:10","024:015, 024:026, 024:040, 024:043, 024:044, 024:047, 024:048","Open Data (MGMT)","edmo@hq.dhs.gov","1119","public","-","-","https://www.dhs.gov/immigration-statistics/yearbook/2005","05/16/2017","http://www.usa.gov/publicdomain/label/1.0/"
"Nonimmigrant Admissions: Fiscal Year 2006","Nonimmigrants are foreign nationals granted temporary admission into the United States. The major purposes for which nonimmigrant admission may be authorized include temporary visits for business or pleasure, academic or vocational study, temporary employment, or to act as a representative of a foreign government or international organization."," Analyze, Apprehensions, Characteristics, Country of Origin, Green Card, I94, Immigrant, LPR, Legal, Naturalization, Non-Immigrant, Period, Population, Quantitative, Removals, Residency, Residents, Size, Statistics, Unauthorized,Immigration Statistics","Under Secretary / Management","024:10","024:015, 024:026, 024:040, 024:043, 024:044, 024:047, 024:048","Open Data (MGMT)","edmo@hq.dhs.gov","1118","public","-","-","https://www.dhs.gov/immigration-statistics/yearbook/2006","05/16/2017","http://www.usa.gov/publicdomain/label/1.0/"
"Nonimmigrant Admissions: Fiscal Year 2008","Nonimmigrants are foreign nationals granted temporary admission into the United States. The major purposes for which nonimmigrant admission may be authorized include temporary visits for business or pleasure, academic or vocational study, temporary employment, or to act as a representative of a foreign government or international organization."," Analyze, Apprehensions, Characteristics, Country of Origin, Green Card, I94, Immigrant, LPR, Legal, Naturalization, Non-Immigrant, Period, Population, Quantitative, Removals, Residency, Residents, Size, Statistics, Unauthorized,Immigration Statistics","Under Secretary / Management","024:10","024:015, 024:026, 024:040, 024:043, 024:044, 024:047, 024:048","Open Data (MGMT)","edmo@hq.dhs.gov","1116","public","-","-","https://www.dhs.gov/immigration-statistics/yearbook/2008","05/16/2017","http://www.usa.gov/publicdomain/label/1.0/"
"Nonimmigrant Admissions: Fiscal Year 2009","Nonimmigrants are foreign nationals granted temporary admission into the United States. The major purposes for which nonimmigrant admission may be authorized include temporary visits for business or pleasure, academic or vocational study, temporary employment, or to act as a representative of a foreign government or international organization."," Analyze, Apprehensions, Characteristics, Country of Origin, Green Card, I94, Immigrant, LPR, Legal, Naturalization, Non-Immigrant, Period, Population, Quantitative, Removals, Residency, Residents, Size, Statistics, Unauthorized,Immigration Statistics","Under Secretary / Management","024:10","024:015, 024:026, 024:040, 024:043, 024:044, 024:047, 024:048","Open Data (MGMT)","edmo@hq.dhs.gov","1115","public","-","-","https://www.dhs.gov/immigration-statistics/yearbook/2009","05/16/2017","http://www.usa.gov/publicdomain/label/1.0/"
"Nonimmigrant Admissions: Fiscal Year 2010","Nonimmigrants are foreign nationals granted temporary admission into the United States. The major purposes for which nonimmigrant admission may be authorized include temporary visits for business or pleasure, academic or vocational study, temporary employment, or to act as a representative of a foreign government or international organization."," Analyze, Apprehensions, Characteristics, Country of Origin, Green Card, I94, Immigrant, LPR, Legal, Naturalization, Non-Immigrant, Period, Population, Quantitative, Removals, Residency, Residents, Size, Statistics, Unauthorized,Immigration Statistics","Under Secretary / Management","024:10","024:015, 024:026, 024:040, 024:043, 024:044, 024:047, 024:048","Open Data (MGMT)","edmo@hq.dhs.gov","1114","public","-","-","https://www.dhs.gov/immigration-statistics/yearbook/2010","05/16/2017","http://www.usa.gov/publicdomain/label/1.0/"
"Nonimmigrant Admissions: Fiscal Year 2011","Nonimmigrants are foreign nationals granted temporary admission into the United States. The major purposes for which nonimmigrant admission may be authorized include temporary visits for business or pleasure, academic or vocational study, temporary employment, or to act as a representative of a foreign government or international organization."," Analyze, Apprehensions, Characteristics, Country of Origin, Green Card, I94, Immigrant, LPR, Legal, Naturalization, Non-Immigrant, Period, Population, Quantitative, Removals, Residency, Residents, Size, Statistics, Unauthorized,Immigration Statistics","Under Secretary / Management","024:10","024:015, 024:026, 024:040, 024:043, 024:044, 024:047, 024:048","Open Data (MGMT)","edmo@hq.dhs.gov","1113","public","-","-","https://www.dhs.gov/immigration-statistics/yearbook/2011","05/16/2017","http://www.usa.gov/publicdomain/label/1.0/"
"Nonimmigrant Admissions: Fiscal Year 2012","Nonimmigrants are foreign nationals granted temporary admission into the United States. The major purposes for which nonimmigrant admission may be authorized include temporary visits for business or pleasure, academic or vocational study, temporary employment, or to act as a representative of a foreign government or international organization."," Analyze, Apprehensions, Characteristics, Country of Origin, Green Card, I94, Immigrant, LPR, Legal, Naturalization, Non-Immigrant, Period, Population, Quantitative, Removals, Residency, Residents, Size, Statistics, Unauthorized,Immigration Statistics","Under Secretary / Management","024:10","024:015, 024:026, 024:040, 024:043, 024:044, 024:047, 024:048","Open Data (MGMT)","edmo@hq.dhs.gov","1109","public","-","-","https://www.dhs.gov/immigration-statistics/yearbook/2012","05/16/2017","http://www.usa.gov/publicdomain/label/1.0/"
"North American Electric Reliability Council (NERC) Regions","NERC is an international regulatory authority that works to improve the reliability of the bulk power system in North America. NERC works with many different regional entities to improve the coordination and supply of electricity. This data set of vector layer of polygons represents the boundaries of the regional and subregional entities associated with NERC"," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","6603","public","Selected Continental United States (major mid-America river valleys)","-","https://gii.dhs.gov/gii/","06/22/2017","http://www.usa.gov/publicdomain/label/1.0/"
"North American Electric Reliability Council (NERC) Reliability Coordinators","ERC is an international regulatory authority that works to improve the reliability of the bulk power system in North America. NERC works with many different regional entities to improve the coordination and supply of electricity. This dataset is a vector layer of polygons representing the area served by Reliability Coordinators"," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","6604","public","Selected Continental United States (major mid-America river valleys)","-","https://gii.dhs.gov/gii/","06/22/2017","http://www.usa.gov/publicdomain/label/1.0/"
"Nursing Homes","Nursing Homes"," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","6596","public","Selected Continental United States (scattered coverage along portions of Mississippi River)","-","https://gii.dhs.gov/gii/","06/22/2017","http://www.usa.gov/publicdomain/label/1.0/"
"Obstruction Areas - USACE IENC","These inland electronic Navigational charts (IENCs) were developed from available data used in maintenance of Navigation channels. Users of these IENCs should be aware that some features and attribute information could have significant inaccuracies due to changing waterway conditions, inaccurate source data, or approximations introduced during chart compilation. Caution is urged in use of these IENCs or derived products for Navigational planning or operation, or any decisions pertaining to or affecting safety of vessel operation. These initial IENCs are not to be used as replacements for official government chart books, as required in the U.S. Code of Federal Regulations."," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","2676","public","Selected Continental United States (scattered coverage along major mid-America river valleys)","-","https://hifld-dhs-gii.opendata.arcgis.com/","05/19/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Obstruction Lines - USACE IENC","These inland electronic Navigational charts (IENCs) were developed from available data used in maintenance of Navigation channels. Users of these IENCs should be aware that some features and attribute information could have significant inaccuracies due to changing waterway conditions, inaccurate source data, or approximations introduced during chart compilation. Caution is urged in use of these IENCs or derived products for Navigational planning or operation, or any decisions pertaining to or affecting safety of vessel operation. These initial IENCs are not to be used as replacements for official government chart books, as required in the U.S. Code of Federal Regulations."," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","2677","public","Selected Continental United States (sporadic coverage centered near Charleston, WV)","-","https://hifld-dhs-gii.opendata.arcgis.com/","05/19/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Obstruction Locations - USACE IENC","These inland electronic Navigational charts (IENCs) were developed from available data used in maintenance of Navigation channels. Users of these IENCs should be aware that some features and attribute information could have significant inaccuracies due to changing waterway conditions, inaccurate source data, or approximations introduced during chart compilation. Caution is urged in use of these IENCs or derived products for Navigational planning or operation, or any decisions pertaining to or affecting safety of vessel operation. These initial IENCs are not to be used as replacements for official government chart books, as required in the U.S. Code of Federal Regulations."," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","2678","public","Selected Continental United States (scattered coverage along major mid-America river valleys)","-","https://hifld-dhs-gii.opendata.arcgis.com/","05/19/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Online Incident Investigation Report","The Online Incident Investigation Report provides information on maritime incidents investigated. These published reports are limited to reportable marine casualties, as defined in Section 4.05 of Title 46 of the Code of Federal Regulations, that were closed after October 2002. Additional reports, those closed prior to November 2002 may be added in the future."," Account, Account Transaction, Activate, Agenda, Almanac, Amount, Announcement, Argument, Arrange, Arrange, Arrangement, Aspect, Assemble, Assignment, Assistance, Association, Authority, Automobile, Balance, Being, Bit, Broadcast, Calendar, Capital Asset, Car, Case, Case Step, Case Type, Categorize, Ceremony, Certification, Chance, Character, Chart, Circumstance, Classify, Club, Collection, Communication, Component, Control, Conveyance, Conveyance Type, Credential, Credit, Danger, Datebook, Declaration, Defense, Delivery, Description, Design, Diploma, Documentation, Episode, Event, Experience, Explanation, Financial Instrument, Form, Gathering, Generate, Geographic Area, Governance, Governance Type, Group, Incidence, Incident, Incident, Individual, Institute, Investigation, Item, Lawsuit, Legal Document, Legal Document Type, Location, Map, Method, Model, Model Type, Notice, Notification, Occasion, Occurrence, Organization, Party, Performance Measure, Permit, Person, Person Role, Physical Location, Piece, Place, Plan, Possibility, Power, Produce, Propose, Publication, Record, Repair, Replica, Report, Result, Risk, Scene, Schedule, Service, Site, Society, Spot, Statement, Supremacy, System, Threat, Transportation, Trigger, Type, Vehicle, Virtual Location, Warning,Access Point","Coast Guard, United States","024:60","024:039","Open Data (MGMT)","edmo@hq.dhs.gov","1309","public","-","-","http://cgmix.uscg.mil/IIR/Default.aspx","05/26/2015","http://www.usa.gov/publicdomain/label/1.0/"
"OpenFEMA Dataset Fields - API","The dataset lists the fields for each of the published data sets available via the OpenFEMA APIs","-","Federal Emergency Management Agency","024:70","024:005, 024:006, 024:009","Open Data (FEMA)","openfema@fema.dhs.gov","2197","public","-","API","https://www.fema.gov/openfema-dataset-openfema-data-set-fields-v1","02/26/2016","http://www.usa.gov/publicdomain/label/1.0/"
"OpenFEMA Datasets - API","The dataset lists the published datasets available via FEMA's - API","-","Federal Emergency Management Agency","024:70","024:005, 024:006, 024:009","Open Data (FEMA)","openfema@fema.dhs.gov","2198","public","-","API","https://www.fema.gov/openfema-dataset-openfema-data-sets-v1","02/26/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Outer Continental Shelf (OCS) Blocks and Official Protraction Diagram Areas","The NOAA Coastal Services Center's Outer Continental Shelf(OCS) Block data set was created to assist in marine spatial planning and offshore alternative energy sitting. This is a composite data set derived from a collection of authoritative OCS Block and Official Protraction Diagram data provided by the DIO Minerals Management Service."," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","2679","public","Regions offshore from Continental United States, Alaska","-","https://hifld-dhs-gii.opendata.arcgis.com/","05/19/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Outer Continental Shelf (OCS) Pacific Platforms","Bureau of Ocean Energy Management Pacific OCS Platforms as of August 24, 2011."," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","2680","public","Southern California Coast (Pacific Ocean)","-","https://hifld-dhs-gii.opendata.arcgis.com/","05/19/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Overhead Cables - USACE IENC","These inland electronic Navigational charts (IENCs) were developed from available data used in maintenance of Navigation channels. Users of these IENCs should be aware that some features and attribute information could have significant inaccuracies due to changing waterway conditions, inaccurate source data, or approximations introduced during chart compilation. Caution is urged in use of these IENCs or derived products for Navigational planning or operation, or any decisions pertaining to or affecting safety of vessel operation. These initial IENCs are not to be used as replacements for official government chart books, as required in the U.S. Code of Federal Regulations."," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","2681","public","Selected Continental United States (major mid-America river valleys)","-","https://hifld-dhs-gii.opendata.arcgis.com/","05/19/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Overhead Pipeline Lines - USACE IENC","These inland electronic Navigational charts (IENCs) were developed from available data used in maintenance of Navigation channels. Users of these IENCs should be aware that some features and attribute information could have significant inaccuracies due to changing waterway conditions, inaccurate source data, or approximations introduced during chart compilation. Caution is urged in use of these IENCs or derived products for Navigational planning or operation, or any decisions pertaining to or affecting safety of vessel operation. These initial IENCs are not to be used as replacements for official government chart books, as required in the U.S. Code of Federal Regulations."," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","2682","public","Selected Continental United States (scattered coverage along major mid-America river valleys)","-","https://hifld-dhs-gii.opendata.arcgis.com/","05/19/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Pacific Wells","To show well bottom locations for the Pacific OCS. Includes the type of well (exploratory and developed) and the status of the well (plugged and abandoned, sidetracked, completions, bridge plug and temporality abandoned).This dataset contains well bottom locations for the Pacific OCS Region as of September 21, 2012. The data is in ESRI ArcView and ArcInfo GIS Shapefile format. This information was queried from the Technical Information Management System (TIMS) boreholes form."," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","2683","public","Western United States Coast","-","https://hifld-dhs-gii.opendata.arcgis.com/","05/19/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Paging Transmission Towers","Paging transmission tower locations as recorded by the Federal Communications Commission, extracted from the FCC Licensing Database."," imagery, infrastructure, location, map,Geospatial","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","2684","public","United States, Puerto Rico, U.S. Virgin Islands, Guam","-","https://hifld-dhs-gii.opendata.arcgis.com/","05/19/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Passenger Fee","TSA has implemented congressionally mandated security fees to help finance the increased cost of securing the nation's aviation transportation system. The revenue generated from these security fees is utilized to help ensure the safe and efficient flow of people and commerce."," Security Fee,Passenger Fee","Transportation Security Administration","024:56","024:000","Open Data (MGMT)","edmo@hq.dhs.gov","5676","public","Reports are provided to the public about the total collection each fiscal year.  ","-","https://www.tsa.gov/for-industry/security-fees","11/07/2016","http://www.usa.gov/publicdomain/label/1.0/"
"Performance Measure","Performance Measures are values or characteristics used to measure progress toward goals. They are also used to find ways to improve progress, reduce risks, or improve cost-effectiveness."," Acquisition, Analysis, Budgeting, Performance Measure, Programming, Resource Planning","Under Secretary / Management","024:10","024:003","Open Data (MGMT)","edmo@hq.dhs.gov","1648","public","-","-","https://www.dhs.gov/performance-financial-reports","05/16/2017","http://www.usa.gov/publicdomain/label/1.0/"
"Performance Report Archives","Credentialing Performance Report provide monthly information on the inventory of applications at the NMC, throughput, and processing time from 2009 to 2014.","  Tools, Ability, Account Transaction, Acquire, Agenda, Agent, Aid, Almanac, Analysis, Announcement, Announcement, Assessment, Assistance, Association, Association, Attain, Authority, Automobile, Balance, Being, Benefit, Broadcast, Calendar, Capital Asset, Car, Case Step, Ceremony, Certification, Character, Chart, Club, Communication, Communication, Connection, Control, Conveyance, Conveyance Type, Correlation, Correspondence, Course, Credential, Credential Type, Credit, Datebook, Declaration, Delivery, Description, Diploma, Documentation, Earn, Employee, Equipment, Examination, Explanation, Financial Instrument, Gear, Geographic Area, Governance, Group, Guide, Individual, Inspection, Inspection, Institute, Investigation, Investigation, Itinerary, Journey, Legal Document, Location, Measurement, Member, Messages, Method, Model Type, Notice, Notification, Observation, Occurrence Type, Organization, Organization, Performance Measure, Permit, Person, Person Role, Personnel, Physical Location, Place, Power, Profit, Program, Publication, Record, Repair, Report, Research, Risk Indicator, Route, Scene, Schedule, Schedule, Service, Site, Skill, Society, Spot, Statement, Supremacy, Survey, System, Talent, Test, Traffic, Transfer, Transportation, Travel, Vehicle, Virtual Location, Warning, Workers, Workforce,Account","Coast Guard, United States","024:60","024:039","Open Data (MGMT)","edmo@hq.dhs.gov","1428","public","-","-","http://www.uscg.mil/nmc/reports/default.asp?tab=2#TabbedPanels1","05/26/2015","http://www.usa.gov/publicdomain/label/1.0/"
