OBJECTID_1,ID,NAME,TELEPHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,DIRECTIONS,EMERGTITLE,EMERGTEL,EMERGEXT,CONTDATE,CONTHOW,GEODATE,GEOHOW,HSIPTHEMES,NAICSCODE,NAICSDESCR,GEOLINKID,X,Y,ST_VENDOR,ST_VERSION,GEOPREC,PHONELOC,QC_QA,PORT_TYPE,BORDPATSEC,CONTACT,FAX_NUMBER,HOURS_OPER,REMARK,RULEID,OBJECTID
89,88,"PHOENIX-MESA GATEWAY AIRPORT PORT OF ENTRY, PHOENIX SKY HARBOR INTERNATIONAL AIRPORT",602-914-1400,3002 EAST OLD TOWER ROAD,SUITE 400,PHOENIX,AZ,85034,6006,MARICOPA,04013, , , , ,2009-09-11T00:00:00.000Z,PHONE,2009-09-11T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,102036165,-112.0157519,33.4246051,NAVTEQ,2009Q2,ONENTITY,YES,TGS,AIRPORT, ,PORT DIRECTOR,602-914-1409,8:30 AM - 4:30 PM, ,1,19
90,89,"ONTARIO AIRPORT PORT OF ENTRY, LOS ANGELES/ONTARIO INTERNATIONAL AIRPORT",909-937-8653,2222 EAST AIRPORT DRIVE, ,ONTARIO,CA,91761,2117,SAN BERNARDINO,06071, , , , ,2009-09-15T00:00:00.000Z,ALT REF,2009-09-15T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,110104158,-117.6035592,34.0606837,NAVTEQ,2009Q2,ONENTITY, ,TGS,AIRPORT, ,PORT DIRECTOR, , , ,1,215
91,90,"SARASOTA PORT OF ENTRY, SARASOTA BRADENTON INTERNATIONAL AIRPORT",941-359-5040,6048 AIRPORT CIRCLE, ,SARASOTA,FL,34243,2159,MANATEE,12081, , , , ,2009-09-16T00:00:00.000Z,ALT REF,2009-09-16T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,715301038,-82.5536937,27.3893163,NAVTEQ,2009Q2,ONENTITY, ,TGS,AIRPORT, ,PORT DIRECTOR,941-359-5467,8:30 AM - 5:00PM M-F,OFFICER-IN-CHARGE  1-877-CUSTOMS,1,54
92,91,"PALM SPRINGS PORT OF ENTRY, PALM SPRINGS INTERNATIONAL AIRPORT",760-318-3880,210 NORTH EL CIELO ROAD, ,PALM SPRINGS,CA,92262,6936,RIVERSIDE,06065, , , , ,2009-09-15T00:00:00.000Z,ALT REF,2009-09-15T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,110104835,-116.5100121,33.8249004,NAVTEQ,2009Q2,ONENTITY, ,TGS,AIRPORT, ,PORT DIRECTOR,760-318-3883,8:00 AM - 5:00 PM, ,1,27
93,92,"INDIANAPOLIS PORT OF ENTRY, INDIANAPOLIS INTERNATIONAL AIRPORT",317-248-4060,6801 PIERSON DRIVE, ,INDIANAPOLIS,IN,46241,4226,MARION,18097, , , , ,2009-09-10T00:00:00.000Z,ALT REF,2009-09-10T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,125135068,-86.2838378,39.7359587,NAVTEQ,2009Q2,ONENTITY, ,TGS,AIRPORT, ,PORT DIRECTOR,317-248-4174,8:30 AM - 5:00 PM, ,1,76
94,93,"SAGINAW/BAY CITY/FLINT PORT OF ENTRY / SAULT SAINTE MARIE PORT OF ENTRY, CHIPPEWA COUNTY INTERNATIONAL AIRPORT",906-632-2631,5019 WEST AIRPORT DRIVE, ,KINCHELOE,MI,49788,1643,CHIPPEWA,26033, , , , ,2009-12-18T00:00:00.000Z,ALT REF,2009-12-18T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,709456903,-84.4744377,46.2576876,NAVTEQ,2009Q2,ONENTITY, ,TGS,AIRPORT, , , , , ,0,0
95,94,"COLUMBUS PORT OF ENTRY, PORT COLUMBUS INTERNATIONAL AIRPORT",614-237-0342,4600 INTERNATIONAL GATEWAY, ,COLUMBUS,OH,43219,1779,FRANKLIN,39049, , , , ,2009-09-18T00:00:00.000Z,ALT REF,2009-09-18T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,125258543,-82.8841939,39.9993136,NAVTEQ,2009Q2,ONENTITY, ,TGS,AIRPORT, , , , , ,0,0
96,95,"CINCINNATI / LAWRENCEBURG PORT OF ENTRY, CINCINNATI / NORTHERN KENTUCKY INTERNATIONAL AIRPORT",859-767-7002,2939 TERMINAL DRIVE, ,HEBRON,KY,41048, ,BOONE,21015, , , , ,2009-09-18T00:00:00.000Z,ALT REF,2009-09-18T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,134041626,-84.6562384,39.0503629,NAVTEQ,2009Q2,ONENTITY, ,TGS,AIRPORT, ,PORT DIRECTOR,859-767-7011,8:30 AM - 5:00 PM, ,1,136
97,96,"ANCHORAGE PORT OF ENTRY, TED STEVENS ANCHORAGE INTERNATIONAL AIRPORT",907-266-2526,5000 WEST INTERNATIONAL AIRPORT ROAD, ,ANCHORAGE,AK,99502,0912,ANCHORAGE,02020, , , , ,2009-10-27T00:00:00.000Z,ALT REF,2009-10-27T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,764259697,-149.9877914,61.1783406,NAVTEQ,2009Q2,ONENTITY, ,TGS,AIRPORT, , , , , ,0,0
98,97,"MIAMI SEAPORT PORT OF ENTRY, PORT OF MIAMI",305-536-4758,903 SOUTH AMERICA WAY, ,MIAMI,FL,33132,2003,MIAMI-DADE,12086, , , , ,2009-09-16T00:00:00.000Z,PHONE,2009-09-16T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,727448986,-80.1800389,25.7798782,NAVTEQ,2009Q2,ONENTITY,YES,TGS,WATER PORT, ,PORT DIRECTOR,305-536-5282,8:00 AM - 4:00 PM, ,1,46
99,98,"ROCHESTER PORT OF ENTRY, ROCHESTER INTERNATIONAL AIRPORT",507-285-5278,7701 HELGERSON DRIVE SOUTHWEST,GENERAL AVIATION BUILDING,ROCHESTER,MN,55902, ,OLMSTED,27109, , , , ,2009-09-17T00:00:00.000Z,ALT REF,2009-09-17T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,766147907,-92.4980708,43.9153907,NAVTEQ,2009Q2,ONENTITY, ,TGS,AIRPORT, ,PORT DIRECTOR,507-282-9939,8:00 AM - 5:00 PM, ,1,102
100,99,"AREA PORT OF JACKSONVILLE PORT OF ENTRY, JAXPORT",904-360-5020,2831 TALLEYRAND AVENUE, ,JACKSONVILLE,FL,32206,3417,DUVAL,12031, , , , ,2009-09-16T00:00:00.000Z,PHONE,2009-09-16T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,23019205,-81.6249366,30.3561579,NAVTEQ,2009Q2,ONENTITY,YES,TGS,WATER PORT, ,PORT DIRECTOR,904-360-5033,8:00 AM - 5:00 PM,1-877-CUSTOMS,1,42
101,100,"WILLISTON-SLOULIN FIELD INTERNATIONAL AIRPORT PORT OF ENTRY, SLOULIN FIELD INTERNATIONAL AIRPORT",701-572-6552,421 AIRPORT ROAD, ,WILLISTON,ND,58801,2975,WILLIAMS,38105, , , , ,2009-09-18T00:00:00.000Z,PHONE,2009-09-18T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,721137480,-103.6323704,48.1769207,NAVTEQ,2009Q2,ONENTITY,YES,TGS,AIRPORT, , , , , ,0,0
102,101,"NEWPORT PORT OF ENTRY, NEWPORT HARBOR",401-847-2744,320 THAMES STREET, ,NEWPORT,RI,02840,6633,NEWPORT,44005, , , , ,2009-09-17T00:00:00.000Z,PHONE,2009-09-11T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,34039490,-71.3144213,41.4848523,NAVTEQ,2009Q2,ONENTITY,YES,TGS,WATER PORT, ,PORT DIRECTOR, ,8:00 AM - 5:00 PM, ,1,160
103,102,"DENVER PORT OF ENTRY, COLORADO SPRINGS AIRPORT",719-574-6607,7770 MILTON E PROBY PARKWAY, ,COLORADO SPRINGS,CO,80916,4925,EL PASO,08041, , , , ,2009-09-29T00:00:00.000Z,ALT REF,2009-09-29T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,101963868,-104.7008883,38.797415,NAVTEQ,2009Q2,ONENTITY, ,TGS,AIRPORT, , , , , ,0,0
104,103,"CLEVELAND PORT OF ENTRY, AKRON CANTON REGIONAL AIRPORT",330-499-5070,5400 LAUBY ROAD NORTHWEST, ,NORTH CANTON,OH,44720,1598,SUMMIT,39153, , , , ,2009-09-29T00:00:00.000Z,ALT REF,2009-09-29T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,125276807,-81.4364475,40.9149647,NAVTEQ,2009Q2,ONENTITY, ,TGS,AIRPORT, , , , , ,0,0
105,104,"SAULT SAINTE MARIE PORT OF ENTRY / SAGINAW/BAY CITY/FLINT PORT OF ENTRY, ALPENA SEAPORT",906-632-2631,900 INTERNATIONAL BRIDGE PLAZA, ,SAULT SAINTE MARIE,MI,49783, ,ALPENA,26007,PLOTTED AT APPROXIMATE CENTER OF COMMERCIAL WATERFRONT AREA AT PORT. ADDRESS GOES TO ADMINISTRATION BUILDING FOR THE SAULT SAINTE MARIE PORT OF ENTRY., , , ,2010-01-07T00:00:00.000Z,ALT REF,2010-01-07T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,122954212,-83.4093562,45.0689394,NAVTEQ,2009Q2,APPROXIMATE, ,TGS,WATER PORT, , , , , ,0,0
106,105,"SAULT SAINTE MARIE PORT OF ENTRY / SAGINAW/BAY CITY/FLINT PORT OF ENTRY, MARQUETTE SEAPORT",906-632-2631,900 INTERNATIONAL BRIDGE PLAZA, ,SAULT SAINTE MARIE,MI,49783, ,MARQUETTE,26103,PLOTTED AT APPROXIMATE CENTER OF COMMERCIAL WATERFRONT AREA AT PORT. ADDRESS GOES TO ADMINISTRATION BUILDING FOR THE SAULT SAINTE MARIE PORT OF ENTRY., , , ,2010-01-07T00:00:00.000Z,ALT REF,2010-01-07T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,762682453,-87.3900146,46.5420673,NAVTEQ,2009Q2,APPROXIMATE, ,TGS,WATER PORT, , , , , ,0,0
107,106,"SAULT SAINTE MARIE PORT OF ENTRY / SAGINAW/BAY CITY/FLINT PORT OF ENTRY, ROGERS CITY SEAPORT",906-632-2631,900 INTERNATIONAL BRIDGE PLAZA, ,SAULT SAINTE MARIE,MI,49783, ,PRESQUE ISLE,26141,PLOTTED AT APPROXIMATE CENTER OF COMMERCIAL WATERFRONT AREA AT PORT. ADDRESS GOES TO ADMINISTRATION BUILDING FOR THE SAULT SAINTE MARIE PORT OF ENTRY., , , ,2010-01-07T00:00:00.000Z,ALT REF,2010-01-07T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,123163108,-83.7849856,45.4118843,NAVTEQ,2009Q2,APPROXIMATE, ,TGS,WATER PORT, , , , , ,0,0
108,107,"SAULT SAINTE MARIE PORT OF ENTRY / SAGINAW/BAY CITY/FLINT PORT OF ENTRY, CHEBOYGAN SEAPORT",906-632-2631,900 INTERNATIONAL BRIDGE PLAZA, ,SAULT SAINTE MARIE,MI,49783, ,CHEBOYGAN,26031,PLOTTED AT APPROXIMATE CENTER OF COMMERCIAL WATERFRONT AREA AT PORT. ADDRESS GOES TO ADMINISTRATION BUILDING FOR THE SAULT SAINTE MARIE PORT OF ENTRY., , , ,2010-01-07T00:00:00.000Z,ALT REF,2010-01-07T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,107945627,-84.4706339,45.6487195,NAVTEQ,2009Q2,APPROXIMATE, ,TGS,WATER PORT, , , , , ,0,0
109,108,"SAULT SAINTE MARIE PORT OF ENTRY / SAGINAW/BAY CITY/FLINT PORT OF ENTRY, HOUGHTON SEAPORT",906-632-2631,900 INTERNATIONAL BRIDGE PLAZA, ,SAULT SAINTE MARIE,MI,49783, ,HOUGHTON,26061,PLOTTED AT APPROXIMATE CENTER OF COMMERCIAL WATERFRONT AREA AT PORT. ADDRESS GOES TO ADMINISTRATION BUILDING FOR THE SAULT SAINTE MARIE PORT OF ENTRY., , , ,2010-01-07T00:00:00.000Z,ALT REF,2010-01-07T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,122744522,-88.5518475,47.1249436,NAVTEQ,2009Q2,APPROXIMATE, ,TGS,WATER PORT, , , , , ,0,0
110,109,"SITKA PORT OF ENTRY, PORT OF SITKA",907-747-3374,329 HARBOR DRIVE,ROOM 206,SITKA,AK,99835,7573,SITKA,02220,DUE TO A SHIFT IN IMAGERY AND/OR NAVTEQ STREETS THIS IS AN APPROXIMATE LOCATION., , , ,2009-12-21T00:00:00.000Z,PHONE,2010-01-06T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,124900401,-135.3347835,57.050791,NAVTEQ,2009Q2,APPROXIMATE,YES,TGS,WATER PORT, ,PORT DIRECTOR,907-747-3554,8:00 AM - 5:00 PM, ,1,11
111,110,"SCOTTSDALE AIRPORT PORT OF ENTRY, SCOTTSDALE AIRPORT",480-312-8483,15041 NORTH AIRPORT DRIVE,SUITE 105,SCOTTSDALE,AZ,85260,2492,MARICOPA,04013, , , , ,2009-09-18T00:00:00.000Z,ALT REF,2009-09-18T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,765773428,-111.9156101,33.6218928,NAVTEQ,2009Q2,ONENTITY, ,TGS,AIRPORT, , , , , ,0,0
112,111,"FAJARDO PORT OF ENTRY, BENJAMIN RIVERA NORIEGA AIRPORT",787-742-3531,CARRETERA 250, ,CULEBRA,PR,00775, ,CULEBRA,72049, , , , ,2009-12-21T00:00:00.000Z,PHONE,2009-12-21T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,129344190,-65.3034811,18.3115973,NAVTEQ,2009Q2,ONENTITY,YES,TGS,AIRPORT, , , , , ,0,0
113,112,"SAN FRANCISCO INTERNATIONAL AIRPORT PORT OF ENTRY, SAN FRANCISCO INTERNATIONAL AIRPORT",650-624-7200,575 NORTH MCDONNELL ROAD, ,SAN FRANCISCO,CA,94128, ,SAN MATEO,06081, , , , ,2009-09-15T00:00:00.000Z,ALT REF,2009-09-15T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,732572803,-122.3894762,37.61566,NAVTEQ,2009Q2,ONENTITY, ,TGS,AIRPORT, ,PORT DIRECTOR, , , ,1,212
114,113,"NEW HAVEN PORT OF ENTRY, PORT OF NEW HAVEN",203-773-2040,150 COURT STREET,SUITE 672,NEW HAVEN,CT,06510,2022,NEW HAVEN,09009, , , , ,2009-09-15T00:00:00.000Z,PHONE,2009-09-15T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,22252968,-72.9238605,41.3063498,NAVTEQ,2009Q2,ONENTITY,YES,TGS,WATER PORT, ,PORT DIRECTOR,203-773-2038,8:30 AM - 5:00 PM, ,1,35
115,114,"PITTSBURGH PORT OF ENTRY, PITTSBURGH INTERNATIONAL AIRPORT",412-472-0804,PITTSBURGH INTERNATIONAL AIRPORT, ,PITTSBURGH,PA,15231, ,ALLEGHENY,42003, , , , ,2009-09-14T00:00:00.000Z,ALT REF,2009-09-14T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,704948100,-80.2475094,40.4946855,NAVTEQ,2009Q2,ONENTITY, ,TGS,AIRPORT, ,PORT DIRECTOR,412-472-0809,7:00 AM - 9:00 PM,1-877-CUSTOMS,1,153
116,115,"DULUTH MINNESOTA AND SUPERIOR WISCONSIN PORT OF ENTRY, DULUTH INTERNATIONAL AIRPORT",218-720-5220,4701 GRINDEN DRIVE, ,DULUTH,MN,55811,1578,ST LOUIS,27137, , , , ,2009-09-11T00:00:00.000Z,ALT REF,2009-10-21T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,704783185,-92.1811034,46.8388387,NAVTEQ,2009Q2,ONENTITY, ,TGS,AIRPORT, ,PORT DIRECTOR,218-720-5216,8:00AM-4:30PM, ,1,99
117,116,"PERTH AMBOY PORT OF ENTRY, HARBOR AT PERTH AMBOY",732-442-0415,205 JEFFERSON STREET,ROOM 203,PERTH AMBOY,NJ,08861,4105,MIDDLESEX,34023, , , , ,2009-09-18T00:00:00.000Z,PHONE,2009-09-16T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,21891816,-74.2713082,40.5102181,NAVTEQ,2009Q2,ONENTITY,YES,TGS,WATER PORT, ,PORT DIRECTOR,732-442-9559,8:00 AM - 5:00 PM,1-877-CUSTOMS,1,125
118,117,"CHARLESTON PORT OF ENTRY, PORT OF CHARLESTON",843-579-6500,200 EAST BAY STREET, ,CHARLESTON,SC,29401,2611,CHARLESTON,45019, , , , ,2009-09-14T00:00:00.000Z,ALT REF,2009-09-14T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,42934906,-79.926552,32.7808111,NAVTEQ,2009Q2,ONENTITY, ,TGS,WATER PORT, ,PORT DIRECTOR,843-579-6611,8:00 AM - 4:30 PM,1-877-CUSTOMS,1,162
119,118,"MIAMI PORT OF ENTRY, MIAMI INTERNATIONAL AIRPORT",305-869-2800,6601 NORTHWEST 25TH STREET, ,MIAMI,FL,33122,2232,MIAMI-DADE,12086, , , , ,2009-09-16T00:00:00.000Z,ALT REF,2009-09-16T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,716231406,-80.2894931,25.8052567,NAVTEQ,2009Q2,ONENTITY, ,TGS,AIRPORT, ,PORT DIRECTOR,305-869-2822,7:30 AM - 5:30 PM, ,1,45
120,119,"SPRINGFIELD PORT OF ENTRY, SPRINGFIELD-BRANSON NATIONAL AIRPORT",417-831-4035,5141 WEST CARGO STREET, ,SPRINGFIELD,MO,65803,9512,GREENE,29077, , , , ,2009-09-11T00:00:00.000Z,ALT REF,2009-09-11T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,135080431,-93.3824929,37.2422759,NAVTEQ,2009Q2,ONENTITY, ,TGS,AIRPORT, ,PORT DIRECTOR,417-831-4035,8:30 AM - 5:00 PM, ,1,104
121,120,"DEL RIO/AMISTAD DAM PORT OF ENTRY, DEL RIO INTERNATIONAL AIRPORT",830-703-2012,1104 WEST 10TH STREET, ,DEL RIO,TX,78840,8503,VAL VERDE,48465, , , , ,2009-12-18T00:00:00.000Z,PHONE,2009-12-18T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,773400315,-100.9199685,29.3704702,NAVTEQ,2009Q2,ONENTITY,NO,TGS,AIRPORT, , , , , ,0,0
122,121,"WARROAD PORT OF ENTRY, WARROAD INTERNATIONAL MEMORIAL AIRPORT/SWEDE CARLSON FIELD",218-386-1691,36955 COUNTY ROAD 13, ,WARROAD,MN,56763,9019,ROSEAU,27135, , , , ,2010-01-06T00:00:00.000Z,ALT REF,2010-01-06T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,122580548,-95.3415747,48.9330772,NAVTEQ,2009Q2,ONENTITY, ,TGS,AIRPORT, , , , , ,0,0
123,122,"SAN JOSE INTERNATIONAL AIRPORT PORT OF ENTRY, NORMAN Y MINETA SAN JOSE INTERNATIONAL AIRPORT",408-291-7388,2065 AIRPORT BOULEVARD, ,SAN JOSE,CA,95110,1220,SANTA CLARA,06085, , , , ,2009-09-15T00:00:00.000Z,ALT REF,2009-10-20T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,728188840,-121.929491,37.3695314,NAVTEQ,2009Q2,ONENTITY, ,TGS,AIRPORT, ,PORT DIRECTOR,408-291-7344,9:00 AM TO 5:00 PM., ,1,29
124,123,"HARTFORD PORT OF ENTRY, BRADLEY INTERNATIONAL AIRPORT",860-292-1314,11 SCHOEPHOESTER ROAD, ,WINDSOR LOCKS,CT,06096,1022,HARTFORD,09003, , , , ,2009-09-11T00:00:00.000Z,PHONE,2009-10-20T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,22284903,-72.6898134,41.9330968,NAVTEQ,2009Q2,ONENTITY,YES,TGS,AIRPORT, ,PORT DIRECTOR,860-240-4309,8:30 AM - 5:00 PM, ,1,34
125,124,"ROCKFORD PORT OF ENTRY, CHICAGO ROCKFORD INTERNATIONAL AIRPORT",815-968-0661,50 AIRPORT DRIVE, ,ROCKFORD,IL,61109,2902,WINNEBAGO,17201, , , , ,2009-09-10T00:00:00.000Z,ALT REF,2009-10-20T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,724708638,-89.0985961,42.2009983,NAVTEQ,2009Q2,ONENTITY, ,TGS,AIRPORT, ,PORT DIRECTOR,815-965-6611,8:30 AM - 5:00 PM, ,1,72
126,125,"PORT EVERGLADES/FORT LAUDERDALE PORT OF ENTRY, FORT LAUDERDALE EXECUTIVE AIRPORT",954-356-7412,1601 NORTHWEST 56TH STREET, ,FORT LAUDERDALE,FL,33309, ,BROWARD,12011, , , , ,2009-09-29T00:00:00.000Z,ALT REF,2009-09-29T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,106194110,-80.1646329,26.1958967,NAVTEQ,2009Q2,ONENTITY, ,TGS,AIRPORT, , , , , ,0,0
127,126,"SAVANNAH PORT OF ENTRY, SAVANNAH / HILTON HEAD INTERNATIONAL AIRPORT",912-652-4256,400 AIRWAYS AVENUE, ,SAVANNAH,GA,31408,8000,CHATHAM,13051, , , , ,2009-09-21T00:00:00.000Z,ALT REF,2009-09-21T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,124547332,-81.2100148,32.1356213,NAVTEQ,2009Q2,ONENTITY, ,TGS,AIRPORT, ,PORT DIRECTOR,912-447-9407,8:00 AM - 5:00 PM,1-877-CUSTOMS,1,60
128,127,"GREENVILLE-SPARTANBURG PORT OF ENTRY, GREENVILLE-SPARTANBURG INTERNATIONAL AIRPORT",864-877-7426,2000 GSP DRIVE, ,GREER,SC,29651,6633,SPARTANBURG,45083, , , , ,2009-09-14T00:00:00.000Z,ALT REF,2009-09-14T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,721601463,-82.203094,34.9078924,NAVTEQ,2009Q2,ONENTITY, ,TGS,AIRPORT, ,PORT DIRECTOR,864-848-3454,8:00 AM - 5:00 PM,1-877-CUSTOMS,1,165
129,128,"DENVER PORT OF ENTRY, DENVER INTERNATIONAL AIRPORT",303-342-7400,8500 PENA BOULEVARD, ,DENVER,CO,80249,6205,DENVER,08031, , , , ,2009-09-11T00:00:00.000Z,PHONE,2009-09-11T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,129603875,-104.6737698,39.8495333,NAVTEQ,2009Q2,ONENTITY,YES,TGS,AIRPORT, ,PORT DIRECTOR,303-371-3285,8:00 AM - 4:30 PM, ,1,31
130,129,"LOUISVILLE PORT OF ENTRY, LOUISVILLE INTERNATIONAL AIRPORT",502-366-3398,650 ADMINISTRATION DRIVE, ,LOUISVILLE,KY,40209,1514,JEFFERSON,21111, , , , ,2009-09-10T00:00:00.000Z,ALT REF,2009-09-10T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,38684890,-85.7417089,38.1858744,NAVTEQ,2009Q2,ONENTITY, ,TGS,AIRPORT, ,PORT DIRECTOR,502-625-7224,8:30 AM - 4:30 PM, ,1,80
131,130,"PONCE PORT OF ENTRY, PORT OF PONCE",787-841-3131,CALLE BONAIRE 63, ,PONCE,PR,00716,8040,PONCE,72113, , , , ,2009-09-15T00:00:00.000Z,PHONE,2009-09-15T00:00:00.000Z,MANUAL,"MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY",921130,CUSTOMS BUREAUS,120226642,-66.6199268,17.9798122,NAVTEQ,2009Q2,ONENTITY,YES,TGS,WATER PORT, ,PORT DIRECTOR,787-841-3133,8:00 AM - 5:00 PM, ,1,158
